[
100	 , 133026	 , 50	 , -0.01214309334032849, 
100	 , 135114	 , 50	 , -0.05753711971301043, 
100	 , 135858	 , 50	 , -0.08395992161121316, 
100	 , 135960	 , 50	 , -0.14596002650415418, 
100	 , 136440	 , 50	 , -0.007723825289659329, 
100	 , 134604	 , 50	 , -0.034592010500237164, 
100	 , 135348	 , 50	 , -0.0023376444534855935, 
100	 , 135426	 , 50	 , -0.008947230315772802, 
100	 , 135036	 , 50	 , -0.11487752410805781, 
100	 , 134964	 , 50	 , -0.002268744149842368, 
150	 , 203748	 , 50	 , -0.003198839214783008, 
150	 , 203862	 , 50	 , -9.061010946465246E-4, 
150	 , 204066	 , 50	 , -4.816456348101724E-6, 
150	 , 204348	 , 50	 , -3.042608286652283E-4, 
150	 , 203370	 , 50	 , -1.79071232454249E-4, 
150	 , 203220	 , 50	 , -0.08370475978687633, 
150	 , 203694	 , 50	 , -0.0023563532534934804, 
150	 , 201864	 , 50	 , -0.014068283317601831, 
150	 , 203928	 , 50	 , -0.0012081605217437478, 
150	 , 203028	 , 50	 , -4.7343808552316365E-5, 
150	 , 202416	 , 50	 , -0.050112188953607834, 
150	 , 200676	 , 50	 , -0.006342469810382572, 
150	 , 203286	 , 50	 , -0.003167230050081942, 
150	 , 202956	 , 50	 , -0.006286268258529442, 
150	 , 203100	 , 50	 , -0.018741691394763737, 
150	 , 203244	 , 50	 , -0.0032523286248475813, 
150	 , 201546	 , 50	 , -0.026535804372470603, 
150	 , 202860	 , 50	 , -5.9097039920305E-4, 
150	 , 201816	 , 50	 , -0.03646304156764431, 
150	 , 204240	 , 50	 , -0.014756074196985181, 
150	 , 202758	 , 50	 , -0.08469042085570991, 
150	 , 202158	 , 50	 , -0.04361413775269173, 
150	 , 203160	 , 50	 , -4.4647040686628375E-4, 
150	 , 204834	 , 50	 , -0.00357891654096781, 
150	 , 199746	 , 50	 , -0.0029347556856838984, 
150	 , 203280	 , 50	 , -0.035221054011855824, 
150	 , 203238	 , 50	 , -0.0024936470627819106, 
150	 , 203958	 , 50	 , -0.024199299276423655, 
150	 , 203064	 , 50	 , -0.00805811397942185, 
150	 , 204318	 , 50	 , -0.00252698471956279, 
150	 , 200070	 , 50	 , -0.0031511637715126244, 
150	 , 199782	 , 50	 , -0.003960259050110852, 
150	 , 204132	 , 50	 , -0.0018611801373635373, 
150	 , 204474	 , 50	 , -0.004819222526884698, 
150	 , 200064	 , 50	 , -0.08353042413672015, 
150	 , 201870	 , 50	 , -0.007416042306851897, 
150	 , 204552	 , 50	 , -0.0032703377880259022, 
150	 , 203904	 , 50	 , -0.0980635575068523, 
150	 , 202962	 , 50	 , -0.14030548020126155, 
150	 , 203220	 , 50	 , -0.09204231586269575, 
200	 , 272142	 , 50	 , -0.010641237624561574, 
200	 , 271662	 , 50	 , -0.026273582281708556, 
200	 , 272538	 , 50	 , -0.018124916133210708, 
200	 , 269514	 , 50	 , -0.03196046428056807, 
200	 , 272070	 , 50	 , -0.00112797046774469, 
200	 , 272058	 , 50	 , -2.728519416825987E-4, 
200	 , 271590	 , 50	 , -6.456431644724588E-4, 
200	 , 275520	 , 50	 , -0.004395699432101175, 
200	 , 270492	 , 50	 , -0.010908513771232387, 
200	 , 271290	 , 50	 , -0.0022438503924092, 
200	 , 270918	 , 50	 , -1.239324854581846E-5, 
200	 , 271098	 , 50	 , -0.02356099702125463, 
200	 , 271200	 , 50	 , -2.3294975351476248E-4, 
200	 , 272220	 , 50	 , -0.05446012132357831, 
200	 , 269166	 , 50	 , -0.009267085657963536, 
200	 , 270546	 , 50	 , -7.000082650182631E-4, 
200	 , 272730	 , 50	 , -0.0011221475361380003, 
200	 , 271440	 , 50	 , -6.6226526139531E-4, 
200	 , 269496	 , 50	 , -0.006107471946732957, 
200	 , 270270	 , 50	 , -0.003976142026882673, 
200	 , 269910	 , 50	 , -0.001880380666855241, 
200	 , 267924	 , 50	 , -0.008447389584360932, 
200	 , 272664	 , 50	 , -0.0032523286248475813, 
200	 , 269124	 , 50	 , -0.0035497376033238417, 
200	 , 268368	 , 50	 , -0.01690441685067954, 
200	 , 269118	 , 50	 , -0.036729498864558015, 
200	 , 271128	 , 50	 , -3.3872690733388855E-4, 
200	 , 272028	 , 50	 , -0.019798813651665893, 
200	 , 271038	 , 50	 , -0.003524909460686064, 
200	 , 270894	 , 50	 , -0.024470609016342425, 
200	 , 270672	 , 50	 , -6.487723987661507E-7, 
200	 , 267846	 , 50	 , -1.6232667777699758E-5, 
200	 , 272610	 , 50	 , -0.012824695065991615, 
200	 , 271908	 , 50	 , -0.001313112340622495, 
200	 , 269724	 , 50	 , -0.014318029060212064, 
200	 , 269532	 , 50	 , -0.0029073143956730705, 
200	 , 270864	 , 50	 , -0.008970254242279322, 
200	 , 272532	 , 50	 , -0.1586489885285449, 
200	 , 271284	 , 50	 , -0.0013580973865422868, 
200	 , 269838	 , 50	 , -0.05137424643492631, 
250	 , 339648	 , 50	 , -0.006539867535181751, 
250	 , 338388	 , 50	 , -0.0050740709642778156, 
250	 , 340164	 , 50	 , -0.007308116840707006, 
250	 , 338460	 , 50	 , -0.0022289182579483553, 
250	 , 340860	 , 50	 , -0.03404832630590015, 
250	 , 340428	 , 50	 , -1.5072201455139296E-5, 
250	 , 338556	 , 50	 , -0.16407206567044377, 
250	 , 336444	 , 50	 , -0.0032538822077204394, 
250	 , 339222	 , 50	 , -9.341186122643903E-4, 
250	 , 339402	 , 50	 , -0.03709892542167907, 
250	 , 333906	 , 50	 , -0.002925805751300811, 
250	 , 339618	 , 50	 , -0.018866156557855823, 
250	 , 339648	 , 50	 , -7.000082650182631E-4, 
250	 , 340530	 , 50	 , -0.009685490417227936, 
250	 , 339360	 , 50	 , -0.03555425204638627, 
250	 , 339588	 , 50	 , -0.06941499493531929, 
250	 , 339882	 , 50	 , -4.2028571648271154E-4, 
250	 , 340896	 , 50	 , -0.029475451348928167, 
250	 , 338940	 , 50	 , -0.0019050949373045807, 
250	 , 341208	 , 50	 , -0.014698213010439507, 
250	 , 340686	 , 50	 , -0.003173977311044023, 
250	 , 341406	 , 50	 , -0.013841161518283598, 
250	 , 342900	 , 50	 , -0.0030691672124936835, 
250	 , 337680	 , 50	 , -0.003401433860263197, 
250	 , 342180	 , 50	 , -0.012469081758478617, 
250	 , 337554	 , 50	 , -0.03737512975829463, 
250	 , 337614	 , 50	 , -0.011331810647564606, 
250	 , 339660	 , 50	 , -2.5927482904191735E-4, 
250	 , 338166	 , 50	 , -0.019563606354745286, 
250	 , 339444	 , 50	 , -3.022191403817431E-4, 
250	 , 339792	 , 50	 , -7.829148456063717E-5, 
250	 , 332928	 , 50	 , -0.004438850506342711, 
250	 , 340290	 , 50	 , -0.0016404828657698887, 
250	 , 339066	 , 50	 , -0.002853015672885211, 
250	 , 337818	 , 50	 , -0.003832225319557933, 
250	 , 337554	 , 50	 , -0.00567042972447683, 
250	 , 338892	 , 50	 , -0.01038888579198393, 
250	 , 337848	 , 50	 , -0.015338985357468311, 
250	 , 338736	 , 50	 , -0.04134043688802158, 
250	 , 337842	 , 50	 , -0.017620461193907127, 
300	 , 405762	 , 50	 , -1.0967652672250213E-5, 
300	 , 407532	 , 50	 , -0.019798813651665893, 
300	 , 406698	 , 50	 , -1.177181539675912E-5, 
300	 , 408348	 , 50	 , -1.7897776951898334E-4, 
300	 , 408468	 , 50	 , -8.17340298744441E-4, 
300	 , 406218	 , 50	 , -0.00695408877901973, 
300	 , 404658	 , 50	 , -7.410316269277849E-4, 
300	 , 407790	 , 50	 , -0.016610573387813327, 
300	 , 406758	 , 50	 , -0.005026793978296764, 
300	 , 406476	 , 50	 , -3.497294022195039E-4, 
300	 , 407268	 , 50	 , -0.0075400012441683845, 
300	 , 405258	 , 50	 , -0.001709115750973725, 
300	 , 407304	 , 50	 , -1.9357420037593661E-4, 
300	 , 405132	 , 50	 , -9.523234753846836E-4, 
300	 , 408198	 , 50	 , -0.03512399885730235, 
300	 , 405600	 , 50	 , -2.485893451735003E-4, 
300	 , 406728	 , 50	 , -0.00136451256797336, 
300	 , 408594	 , 50	 , -6.453390664494731E-7, 
300	 , 403320	 , 50	 , -9.915704693024344E-4, 
300	 , 408984	 , 50	 , -9.384657809623131E-5, 
300	 , 406806	 , 50	 , -2.6929672607015564E-4, 
300	 , 407250	 , 50	 , -2.2921600462192754E-4, 
300	 , 406014	 , 50	 , -0.0010315333130077639, 
300	 , 405624	 , 50	 , -0.003440363843163812, 
300	 , 406878	 , 50	 , -4.152644679716581E-4, 
300	 , 405960	 , 50	 , -0.01244772471481173, 
300	 , 400854	 , 50	 , -0.04592958145313197, 
300	 , 409008	 , 50	 , -0.001114095799636686, 
300	 , 408666	 , 50	 , -3.085774810889191E-4, 
300	 , 404760	 , 50	 , -0.002111718979738399, 
300	 , 408882	 , 50	 , -0.02175566200473674, 
300	 , 406254	 , 50	 , -0.006814951651759565, 
300	 , 407124	 , 50	 , -0.005702061778060025, 
300	 , 405378	 , 50	 , -0.009129802148672261, 
300	 , 406488	 , 50	 , -6.246811447624618E-4, 
300	 , 407052	 , 50	 , -0.003871087970997033, 
300	 , 406962	 , 50	 , -0.00828885679988875, 
300	 , 405570	 , 50	 , -0.023754480174991967, 
300	 , 406536	 , 50	 , -0.026791541661451933, 
300	 , 408774	 , 50	 , -0.053415901529516474, 
350	 , 476094	 , 50	 , -0.029926228044888807, 
350	 , 475110	 , 50	 , -0.003208648817429505, 
350	 , 474816	 , 50	 , -0.00638629152886981, 
350	 , 474954	 , 50	 , -1.7885931955412425E-4, 
350	 , 473280	 , 50	 , -0.009026493942268973, 
350	 , 474678	 , 50	 , -0.004879376225713858, 
350	 , 470940	 , 50	 , -0.02431147368204916, 
350	 , 475530	 , 50	 , -2.2913493983115147E-4, 
350	 , 470850	 , 50	 , -8.639432071475468E-4, 
350	 , 475236	 , 50	 , -0.004791820147973254, 
350	 , 474894	 , 50	 , -0.001979001420944845, 
350	 , 473364	 , 50	 , -7.195755642573656E-6, 
350	 , 473898	 , 50	 , -0.003440363843163812, 
350	 , 472734	 , 50	 , -0.023598720760068442, 
350	 , 476988	 , 50	 , -3.5435486381088244E-4, 
350	 , 474630	 , 50	 , -0.029421151481695666, 
350	 , 473322	 , 50	 , -1.1839147081794439E-4, 
350	 , 476742	 , 50	 , -2.5758448286358636E-5, 
350	 , 476220	 , 50	 , -0.338656240447445, 
350	 , 471150	 , 50	 , -0.006372415716317664, 
350	 , 474048	 , 50	 , -0.0027294546206358223, 
350	 , 472302	 , 50	 , -4.253962070462804E-6, 
350	 , 476070	 , 50	 , -0.05946204608665817, 
350	 , 477096	 , 50	 , -1.2143185273625764E-6, 
350	 , 475008	 , 50	 , -1.488939580693698E-4, 
350	 , 471684	 , 50	 , -0.1078013541063484, 
350	 , 473748	 , 50	 , -7.336720883693532E-4, 
350	 , 472908	 , 50	 , -0.0024936470627819106, 
350	 , 473208	 , 50	 , -0.09811770726116519, 
350	 , 473214	 , 50	 , -0.001327381078984019, 
350	 , 473358	 , 50	 , -0.06586210292589217, 
350	 , 477240	 , 50	 , -0.002897957992891919, 
350	 , 473634	 , 50	 , -3.90031573602143E-4, 
350	 , 474102	 , 50	 , -0.003600095051354447, 
350	 , 473490	 , 50	 , -7.687389979579994E-5, 
350	 , 476814	 , 50	 , -1.6397658469513672E-5, 
350	 , 474426	 , 50	 , -0.007649514054287437, 
350	 , 474654	 , 50	 , -3.4143215786990764E-6, 
350	 , 475578	 , 50	 , -0.007744571772396486, 
350	 , 476502	 , 50	 , -0.03936229653385691, 
400	 , 544146	 , 50	 , -3.2617290313550707E-6, 
400	 , 542682	 , 50	 , -0.0016848752803838899, 
400	 , 541938	 , 50	 , -0.002786204742696477, 
400	 , 541782	 , 50	 , -0.0023492592259674503, 
400	 , 541632	 , 50	 , -2.9422004607392434E-5, 
400	 , 541956	 , 50	 , -0.011755870105151752, 
400	 , 542874	 , 50	 , -3.622747984994424E-4, 
400	 , 541050	 , 50	 , -7.108377558680809E-5, 
400	 , 541512	 , 50	 , -0.0032225633503407476, 
400	 , 541284	 , 50	 , -0.014641620249442527, 
400	 , 538416	 , 50	 , -0.007597670736327025, 
400	 , 542700	 , 50	 , -0.0014048559393437647, 
400	 , 540246	 , 50	 , -0.0015732660394052174, 
400	 , 539874	 , 50	 , -2.975650676878251E-4, 
400	 , 539970	 , 50	 , -0.0019234453355668898, 
400	 , 542496	 , 50	 , -5.630823922745184E-5, 
400	 , 542448	 , 50	 , -0.0022091518008466866, 
400	 , 540636	 , 50	 , -0.0056388953301239365, 
400	 , 539250	 , 50	 , -0.005224513864111491, 
400	 , 535674	 , 50	 , -0.004770184432166605, 
400	 , 541398	 , 50	 , -8.153304641552836E-4, 
400	 , 543348	 , 50	 , -0.0020543239634242556, 
400	 , 541764	 , 50	 , -9.653026159804583E-4, 
400	 , 544026	 , 50	 , -2.898263366492356E-4, 
400	 , 542442	 , 50	 , -4.07680234651696E-5, 
400	 , 541350	 , 50	 , -1.5537417983838903E-5, 
400	 , 542382	 , 50	 , -0.012777420941120797, 
400	 , 542460	 , 50	 , -0.010517474387186743, 
400	 , 541722	 , 50	 , -0.02453622648207024, 
400	 , 542532	 , 50	 , -3.90031573602143E-4, 
400	 , 544026	 , 50	 , -0.012428783020428411, 
400	 , 543972	 , 50	 , -0.018351415164195063, 
