[
100	 , 52956	 , 4	 , 14	 , -8.5E-4, 
100	 , 54286	 , 7	 , 14	 , -0.06662, 
100	 , 51748	 , 9	 , 14	 , -0.00371, 
100	 , 55188	 , 5	 , 15	 , -2.0E-5, 
100	 , 51424	 , 0	 , 14	 , -0.00532, 
100	 , 55372	 , 8	 , 15	 , -1.8E-4, 
100	 , 53196	 , 7	 , 13	 , -0.02051, 
100	 , 51880	 , 3	 , 14	 , -1.5E-4, 
100	 , 54890	 , 4	 , 15	 , -4.7E-4, 
100	 , 53304	 , 3	 , 14	 , -6.6E-4, 
100	 , 55370	 , 10	 , 14	 , -0.00269, 
100	 , 51504	 , 7	 , 14	 , -0.03417, 
100	 , 52742	 , 10	 , 13	 , -0.16509, 
100	 , 54766	 , 6	 , 14	 , -0.00548, 
100	 , 54358	 , 1	 , 15	 , -0.01249, 
100	 , 51920	 , 1	 , 14	 , -1.0E-4, 
100	 , 56540	 , 8	 , 14	 , -0.00406, 
100	 , 52460	 , 8	 , 14	 , -4.6E-4, 
100	 , 53408	 , 7	 , 14	 , -8.8E-4, 
100	 , 55850	 , 9	 , 14	 , -0.00497, 
100	 , 53846	 , 3	 , 15	 , -0.00629, 
100	 , 51906	 , 4	 , 14	 , -4.0E-5, 
100	 , 54780	 , 7	 , 14	 , -0.00313, 
100	 , 54044	 , 0	 , 15	 , -0.0129, 
100	 , 52844	 , 8	 , 13	 , -0.03394, 
100	 , 51472	 , 3	 , 14	 , -7.0E-5, 
100	 , 53606	 , 6	 , 14	 , -4.6E-4, 
100	 , 55060	 , 6	 , 14	 , -1.6E-4, 
100	 , 54688	 , 8	 , 14	 , -3.0E-4, 
100	 , 52950	 , 8	 , 14	 , -0.05729, 
100	 , 55130	 , 9	 , 14	 , -0.002, 
100	 , 53906	 , 5	 , 14	 , -0.0103, 
100	 , 53200	 , 5	 , 14	 , -0.01995, 
100	 , 54870	 , 8	 , 14	 , -0.013, 
100	 , 55270	 , 5	 , 15	 , -0.00226, 
100	 , 54868	 , 0	 , 15	 , -0.01933, 
100	 , 52224	 , 5	 , 14	 , -0.01784, 
100	 , 53850	 , 9	 , 14	 , -2.6E-4, 
100	 , 51894	 , 6	 , 14	 , -0.02254, 
100	 , 56200	 , 6	 , 15	 , -0.18035, 
100	 , 52916	 , 6	 , 14	 , -6.5E-4, 
100	 , 51394	 , 0	 , 14	 , -0.00645, 
100	 , 55184	 , 8	 , 14	 , -0.00602, 
100	 , 51790	 , 0	 , 14	 , -5.6E-4, 
100	 , 54874	 , 3	 , 15	 , -9.6E-4, 
100	 , 51276	 , 1	 , 14	 , -0.00107, 
100	 , 51362	 , 3	 , 14	 , -0.00484, 
100	 , 52304	 , 9	 , 14	 , -0.00144, 
100	 , 53154	 , 7	 , 14	 , -0.00148, 
100	 , 55366	 , 4	 , 15	 , -0.01039, 
100	 , 52352	 , 4	 , 14	 , -0.01688, 
100	 , 52432	 , 7	 , 13	 , -0.01107, 
100	 , 52854	 , 5	 , 14	 , -0.01235, 
100	 , 51210	 , 2	 , 14	 , -0.00551, 
100	 , 51762	 , 5	 , 14	 , -6.9E-4, 
100	 , 54734	 , 1	 , 15	 , -9.0E-4, 
100	 , 54080	 , 7	 , 14	 , -0.00315, 
100	 , 53548	 , 6	 , 14	 , -0.01956, 
100	 , 54778	 , 7	 , 14	 , -7.0E-5, 
100	 , 51298	 , 8	 , 13	 , -0.00776, 
100	 , 54620	 , 2	 , 15	 , -0.00331, 
100	 , 52332	 , 6	 , 14	 , -0.03326, 
100	 , 55130	 , 3	 , 15	 , -0.09217, 
100	 , 54320	 , 1	 , 14	 , 0.0, 
100	 , 53536	 , 6	 , 14	 , -2.0E-5, 
100	 , 55536	 , 5	 , 15	 , -0.02693, 
100	 , 52884	 , 8	 , 14	 , -0.00625, 
100	 , 51532	 , 1	 , 14	 , -1.2E-4, 
100	 , 55214	 , 7	 , 15	 , -5.8E-4, 
100	 , 54682	 , 2	 , 15	 , -0.01362, 
100	 , 54596	 , 1	 , 15	 , -0.02918, 
100	 , 51716	 , 2	 , 14	 , -1.1E-4, 
100	 , 54138	 , 7	 , 14	 , -0.00391, 
100	 , 52374	 , 9	 , 13	 , -4.2E-4, 
100	 , 53250	 , 5	 , 14	 , -0.00461, 
100	 , 55172	 , 1	 , 15	 , -0.00151, 
100	 , 53160	 , 6	 , 14	 , -0.07361, 
100	 , 54308	 , 3	 , 15	 , -2.0E-4, 
100	 , 55050	 , 4	 , 15	 , -0.03436, 
100	 , 52590	 , 4	 , 14	 , -1.0E-5, 
100	 , 51558	 , 6	 , 14	 , -0.01732, 
100	 , 53354	 , 8	 , 14	 , -0.00679, 
100	 , 55502	 , 7	 , 15	 , -0.00193, 
100	 , 54678	 , 7	 , 14	 , -0.00525, 
100	 , 51878	 , 3	 , 14	 , -8.0E-5, 
100	 , 51254	 , 2	 , 14	 , -0.00863, 
100	 , 54746	 , 7	 , 14	 , -0.02434, 
100	 , 51928	 , 3	 , 14	 , -0.00382, 
100	 , 51728	 , 1	 , 14	 , -0.00103, 
100	 , 56372	 , 6	 , 14	 , -0.01546, 
100	 , 54000	 , 0	 , 14	 , -0.00292, 
100	 , 51260	 , 4	 , 14	 , -1.7E-4, 
100	 , 52334	 , 1	 , 14	 , -0.00559, 
100	 , 54304	 , 9	 , 14	 , 0.0, 
100	 , 54112	 , 4	 , 14	 , -1.7E-4, 
100	 , 54056	 , 2	 , 15	 , -0.00365, 
100	 , 51562	 , 3	 , 14	 , -0.00355, 
100	 , 52560	 , 5	 , 14	 , -3.0E-5, 
100	 , 52958	 , 6	 , 14	 , -0.03654, 
100	 , 54572	 , 6	 , 14	 , -0.02431, 
100	 , 53636	 , 6	 , 14	 , -0.00202, 
100	 , 52338	 , 9	 , 14	 , -5.8E-4, 
100	 , 51456	 , 6	 , 14	 , -3.9E-4, 
100	 , 55486	 , 7	 , 15	 , -1.3E-4, 
100	 , 51514	 , 5	 , 14	 , 0.0, 
100	 , 53600	 , 8	 , 14	 , -0.00101, 
100	 , 54832	 , 3	 , 15	 , -1.2E-4, 
100	 , 51994	 , 1	 , 14	 , -0.0256, 
100	 , 55760	 , 8	 , 14	 , -4.0E-5, 
100	 , 54478	 , 0	 , 15	 , -4.7E-4, 
100	 , 51364	 , 3	 , 14	 , -0.00651, 
100	 , 51634	 , 5	 , 14	 , -0.00307, 
100	 , 55190	 , 9	 , 15	 , -9.8E-4, 
100	 , 51246	 , 1	 , 14	 , -0.01306, 
100	 , 53338	 , 10	 , 14	 , -1.0E-5, 
100	 , 56238	 , 8	 , 14	 , -6.1E-4, 
100	 , 53056	 , 5	 , 14	 , -0.00293, 
100	 , 51332	 , 1	 , 14	 , 0.0, 
100	 , 51692	 , 5	 , 14	 , -5.5E-4, 
100	 , 54180	 , 8	 , 14	 , -9.9E-4, 
100	 , 54084	 , 3	 , 15	 , -0.00816, 
100	 , 53478	 , 2	 , 14	 , -5.9E-4, 
100	 , 51666	 , 7	 , 14	 , -0.00924, 
100	 , 53710	 , 9	 , 14	 , -0.01148, 
100	 , 55816	 , 7	 , 14	 , -0.00118, 
100	 , 54294	 , 9	 , 14	 , -0.01039, 
100	 , 52388	 , 6	 , 14	 , -0.00869, 
100	 , 55406	 , 7	 , 14	 , -0.04958, 
100	 , 51924	 , 3	 , 14	 , -0.00131, 
100	 , 51870	 , 5	 , 14	 , -6.8E-4, 
100	 , 55364	 , 1	 , 15	 , -0.11366, 
100	 , 52982	 , 8	 , 13	 , -1.2E-4, 
100	 , 55088	 , 3	 , 15	 , -7.2E-4, 
100	 , 52824	 , 6	 , 14	 , -0.05001, 
100	 , 52824	 , 5	 , 14	 , -0.01322, 
100	 , 51260	 , 2	 , 14	 , -0.00315, 
100	 , 52072	 , 3	 , 14	 , -3.1E-4, 
100	 , 51738	 , 6	 , 14	 , -0.00324, 
100	 , 52646	 , 6	 , 14	 , 0.0, 
100	 , 51230	 , 4	 , 14	 , -0.09746, 
100	 , 52060	 , 4	 , 14	 , -0.0042, 
100	 , 55282	 , 10	 , 14	 , -2.0E-5, 
100	 , 51966	 , 7	 , 13	 , -3.8E-4, 
